"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","用户管理","13","0","查询成功","0"
"2","","0","资金管理","0","0","兑换失败","0"
"0","","1","AI收益","1","0","查询成功","0"
"1","","0","_x0010__x0010_用户管理","0","0","查询成功","0"
"0","","1","资金管理","1","0","转账成功","0"
"0","","0","日志","3","0","查询成功","0"
"0","","0","资金管理","2","0","查询成功","0"
"0","","0","公告","1","0","查询成功","0"
"0","","1","资金管理","2","0","转账失败","0"
"0","","1","资金管理","3","0","提现失败","0"
"1","","0","套餐管理","0","0","下单成功","0"
"0","","1","资金管理","0","0","提现成功","0"
"0","","1","资金管理","0","0","兑换成功","0"
"0","","0","登录","1","0","登录成功","0"
